PK_UID,Regione,Nome,Siglaprov,Siglareg,Codistat,ucs19,c1_19,c2_19,c3_19
237524,TOSCANA,FIRENZE,FI,RT,048017,122,1,12,122
255735,TOSCANA,FIRENZE,FI,RT,048017,121,1,12,121
257559,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
259202,TOSCANA,FIRENZE,FI,RT,048017,142,1,14,142
259534,TOSCANA,FIRENZE,FI,RT,048017,112,1,11,112
259567,TOSCANA,FIRENZE,FI,RT,048017,210,2,21,210
259754,TOSCANA,FIRENZE,FI,RT,048017,210,2,21,210
259990,TOSCANA,FIRENZE,FI,RT,048017,223,2,22,223
260382,TOSCANA,FIRENZE,FI,RT,048017,324,3,32,324
260465,TOSCANA,FIRENZE,FI,RT,048017,511,5,51,511
260476,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
260583,TOSCANA,FIRENZE,FI,RT,048017,223,2,22,223
260662,TOSCANA,FIRENZE,FI,RT,048017,223,2,22,223
260794,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
260932,TOSCANA,FIRENZE,FI,RT,048017,112,1,11,112
261158,TOSCANA,FIRENZE,FI,RT,048017,311,3,31,311
261162,TOSCANA,FIRENZE,FI,RT,048017,112,1,11,112
261186,TOSCANA,FIRENZE,FI,RT,048017,223,2,22,223
261224,TOSCANA,FIRENZE,FI,RT,048017,121,1,12,121
261235,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
261419,TOSCANA,FIRENZE,FI,RT,048017,210,2,21,210
261452,TOSCANA,FIRENZE,FI,RT,048017,112,1,11,112
261519,TOSCANA,FIRENZE,FI,RT,048017,121,1,12,121
261541,TOSCANA,FIRENZE,FI,RT,048017,311,3,31,311
261559,TOSCANA,FIRENZE,FI,RT,048017,142,1,14,142
261585,TOSCANA,FIRENZE,FI,RT,048017,311,3,31,311
261589,TOSCANA,FIRENZE,FI,RT,048017,223,2,22,223
261591,TOSCANA,FIRENZE,FI,RT,048017,121,1,12,121
261643,TOSCANA,FIRENZE,FI,RT,048017,223,2,22,223
261696,TOSCANA,FIRENZE,FI,RT,048017,210,2,21,210
261799,TOSCANA,FIRENZE,FI,RT,048017,210,2,21,210
261823,TOSCANA,FIRENZE,FI,RT,048017,511,5,51,511
261920,TOSCANA,FIRENZE,FI,RT,048017,223,2,22,223
261989,TOSCANA,FIRENZE,FI,RT,048017,210,2,21,210
262003,TOSCANA,FIRENZE,FI,RT,048017,223,2,22,223
262062,TOSCANA,FIRENZE,FI,RT,048017,112,1,11,112
262066,TOSCANA,FIRENZE,FI,RT,048017,112,1,11,112
262147,TOSCANA,FIRENZE,FI,RT,048017,112,1,11,112
262192,TOSCANA,FIRENZE,FI,RT,048017,112,1,11,112
262194,TOSCANA,FIRENZE,FI,RT,048017,112,1,11,112
262293,TOSCANA,FIRENZE,FI,RT,048017,242,2,24,242
